Frame,latitude,longitude,depth,mag
27,24.2778,125.2453,23.95,4.9
27,16.5248,-100.0085,10,4.6
27,16.3397,145.6333,522.23,4.5
27,6.1606,126.5905,88.91,4.6
27,-1.1862,-23.5133,10,4.8
27,-9.2187,159.2047,12.04,4.9
27,-2.9619,146.4135,26.13,5
27,24.4032,94.0239,65.34,4.7
27,-24.1555,-67.3337,224.91,4.6
27,-21.3078,-178.8014,585.13,4.5
27,-48.9567,121.29,10,4.7
27,-48.9205,121.1465,10,4.5
27,-22.0043,171.0299,81.79,4.6
27,-13.4973,166.5925,35,4.9
27,18.2393,96.0814,27.66,4.5
27,2.3709,128.5625,225.56,4.6
27,-56.2259,-27.4572,109.96,4.5
27,-14.6047,-175.4739,10,4.8
27,9.8265,126.3155,35,5
27,-3.0815,129.068,16.39,4.7
27,-13.7735,167.2721,214.4,4.5
27,-35.5891,-72.9602,21,5.2
28,-3.6407,139.3552,56.36,5.1
28,-17.9627,-179.2838,618.77,5.5
28,-12.8092,45.3417,10,4.6
28,-14.7497,-175.7131,122.04,4.5
28,3.0835,-75.6461,13.06,5.5
28,-15.6128,-73.1832,114.31,4.5
28,-9.1933,123.8364,78.63,4.6
28,16.6122,-95.0598,80.85,4.9
28,-12.7482,45.4806,10,4.5
28,-12.7739,166.6221,83.64,4.6
28,34.9588,141.0902,35,5.2
28,5.1074,125.8868,113.84,4.5
28,13.4789,-91.8141,53.94,4.5
28,-14.8147,167.3791,125.87,4.8
29,51.572,16.1672,10,4.9
29,-25.5682,179.4954,504.64,4.5
29,-14.2595,167.5426,10,4.5
29,-4.9672,154.8447,482.57,4.5
29,-3.0859,139.6899,35,5
29,12.8627,-88.2812,68.4,4.5
29,-15.523,-72.3651,111.9,5.5
29,9.7954,126.2217,58.47,4.5
29,-20.9305,-177.9922,457.27,4.7
29,-55.247,-30.9391,10,4.9
29,17.456,-93.9655,171.68,5.4
29,-5.8835,153.624,10,4.7
29,18.577,145.5511,158.62,4.5
29,-18.5541,-175.4989,250.87,4.6
29,-6.1896,154.2313,10,4.6
29,11.5913,125.7895,35,5
29,-56.3606,-26.968,69.93,4.8
29,23.7346,122.4948,24.94,5.3
29,-15.1799,-173.0213,10,5.3
29,-25.8985,-70.6676,51,5.6
29,9.8388,126.2103,44.46,4.8
29,-1.8379,119.5132,10,4.5
29,12.3767,-87.7238,59.35,4.5
30,-6.3468,155.0271,83.85,4.7
30,21.831,120.5791,10,5
30,-4.6334,-105.48,10,5.9
30,-12.8791,45.3061,10,4.6
30,-39.4453,-16.5829,10,4.7
30,-12.0186,-13.7724,10,4.7
30,23.7813,143.0494,10,4.7
30,23.9435,-109.0615,10,5.3
30,51.4379,-178.2114,50.69,4.5
30,55.0617,164.6114,10,4.7
30,13.4929,-88.3489,191.85,5
30,-36.7856,78.8892,10,4.5
30,-19.5226,169.5101,186.82,5.4
30,37.5461,48.8456,10,4.7
30,-17.9897,-177.9899,546.34,4.5
30,6.0698,-82.6268,10,5.4
31,1.3643,127.1614,98.09,4.6
31,8.9424,-83.7749,12.92,4.9
31,-24.3375,-179.8253,499.95,5.5
31,-24.4592,-179.91,489.87,4.7
31,-33.7054,78.3505,10,5
31,-18.3244,-178.0712,589.6,4.5
31,21.4475,143.8304,10,5.1
31,-5.1822,-105.7251,10,4.7
31,21.4041,143.7973,10,5
31,2.9232,128.6544,226.14,4.6
31,-4.6385,-105.0977,10,4.9
31,-6.5897,147.4778,35,4.5
31,-17.3989,-178.8124,551.9,4.5
31,-14.4477,167.766,10,4.9
31,-12.9858,165.9332,10,5
31,-24.5219,113.0182,10,4.5
31,21.4461,144.3564,10,5.1
31,35.7714,27.3095,10,4.9
31,35.9504,27.1552,10,4.5
32,21.2996,143.5945,10,4.9
32,21.4117,144.0814,10,5
32,45.4314,-27.7558,10,4.9
32,14.6802,-92.4527,66,6.7
32,-18.0488,-178.1549,548.81,4.8
32,-2.8933,100.0597,10,4.9
32,46.8367,83.3582,10,5.3
32,-56.5031,-27.1753,118.56,4.5
32,-6.8831,104.9001,35,4.8
32,-23.709,-176.8628,90.6,5.3
32,55.5465,163.2216,10,4.5
32,36.5077,21.416,10,4.5
32,0.3751,125.4444,51.04,5.3
